order_id,customer,category,order_value,is_cod,past_orders,hist_return_rate,days_since_signup,prior_disputes,device_ip_mismatch,night_order,coupon_used,delivery_pincode_risk,returned
ORD-10027,Tara Dhar,Electronics,1775.26,0,4,0.128,94,0,0,1,1,0.288,0
ORD-10028,Liam Koshy,Electronics,3741.36,1,16,0.23,1,0,0,0,0,0.529,0
ORD-10029,Priya Rastogi,Beauty,10719.62,1,8,0.125,474,0,0,0,0,0.254,0
ORD-10030,Theodore Devi,Beauty,1352.77,0,19,0.094,78,0,0,1,0,0.246,0
ORD-10031,Gavin Batta,Mobiles,3585.07,1,11,0.425,252,1,0,0,0,0.337,1
ORD-10032,Michael Dutta,Fashion,2587.15,0,13,0.423,121,1,0,0,0,0.133,1
ORD-10033,Devansh Rajan,Mobiles,3567.01,0,22,0.396,69,1,0,0,0,0.121,1
ORD-10034,Upadhriti Wadhwa,Fitness,6854.29,1,13,0.223,343,1,0,1,0,0.318,0
ORD-10035,Advay Contractor,Fashion,3123.56,0,3,0.402,94,0,0,0,0,0.466,0
ORD-10036,Harini Choudhury,Fitness,2497.38,0,19,0.194,77,1,0,0,0,0.367,0
ORD-10037,Radhika Dugar,Fitness,3133.16,0,27,0.135,404,0,1,0,0,0.057,0
ORD-10038,Aarush Lall,Electronics,5711.72,0,11,0.351,290,1,1,0,0,0.352,1
ORD-10039,Yashica Cherian,Electronics,7983.4,1,6,0.12,126,0,0,0,0,0.195,0
ORD-10040,Yashica Issac,Fashion,3773.9,0,12,0.324,224,1,0,0,1,0.198,0
ORD-10041,Kashvi Edwin,Electronics,3170.41,1,7,0.437,607,0,0,0,0,0.346,1
ORD-10042,Ekiya Suresh,Electronics,2270.37,0,8,0.331,250,2,0,0,1,0.168,1
ORD-10043,Isaac Patil,Fashion,6040.48,0,14,0.454,572,0,0,0,0,0.376,1
ORD-10044,Wriddhish Bhardwaj,Mobiles,6481.55,0,40,0.083,7,0,0,0,0,0.037,1
ORD-10045,Farhan Chada,Beauty,13149.34,1,11,0.053,78,0,0,0,1,0.409,1
ORD-10046,Ekapad Walia,Electronics,1555.92,0,10,0.201,638,0,0,0,0,0.188,0
ORD-10047,Kabir Soman,Home & Kitchen,3989.8,1,5,0.272,38,0,0,0,0,0.432,1
ORD-10048,Alka Wable,Fashion,3790.51,1,9,0.454,4,1,1,0,0,0.138,1
ORD-10049,Siddharth Zacharia,Beauty,2358.14,0,7,0.521,105,0,0,1,1,0.399,0
ORD-10050,Devika Rastogi,Mobiles,2288.19,0,6,0.378,129,0,0,0,1,0.654,1
ORD-10051,Raksha Varughese,Fashion,3936.37,0,14,0.189,345,0,0,0,0,0.211,0
ORD-10052,Jai Kota,Fashion,6220.42,1,21,0.268,905,0,0,0,0,0.154,0
ORD-10053,Devansh Nigam,Electronics,6720.99,0,30,0.211,75,1,0,0,0,0.544,0
ORD-10054,Victor Kannan,Electronics,5073.66,0,5,0.477,237,0,0,0,0,0.548,0
ORD-10055,Ekavir Bhargava,Beauty,4031.19,1,30,0.154,17,0,0,1,0,0.131,0
ORD-10056,Ekansh Balay,Electronics,5690.38,0,21,0.507,64,0,0,0,0,0.659,1
ORD-10057,Ekavir Varkey,Electronics,5211.73,1,11,0.328,35,0,0,0,0,0.143,1
ORD-10058,Arya Sunder,Home & Kitchen,12270.27,1,6,0.196,32,0,0,0,0,0.284,1
ORD-10059,Kevin Solanki,Mobiles,5639.54,1,30,0.415,477,1,0,0,1,0.363,1
ORD-10060,Urvashi Ray,Beauty,6858.69,1,20,0.126,119,0,0,0,0,0.129,0
ORD-10061,Girindra Chatterjee,Fashion,4632.96,0,5,0.247,93,0,1,0,0,0.07,0
ORD-10062,Irya Sampath,Beauty,3359.78,0,14,0.194,20,0,0,1,0,0.095,0
ORD-10063,Unni Bhagat,Fashion,4753.61,0,10,0.215,642,0,0,0,0,0.306,0
ORD-10064,Darsh Rau,Fashion,9436.87,1,13,0.236,581,0,0,0,0,0.094,0
ORD-10065,Ikbal Kothari,Mobiles,3823.9,0,7,0.198,86,0,0,0,1,0.177,0
ORD-10066,Ranveer Yadav,Fashion,6118.05,0,17,0.279,195,0,0,0,0,0.282,1
ORD-10067,Logan Sami,Fitness,4441.52,0,16,0.187,311,0,0,0,1,0.58,0
ORD-10068,Arya Shere,Home & Kitchen,5141.14,1,5,0.143,635,0,0,0,0,0.103,0
ORD-10069,Faqid Savant,Electronics,1785.09,1,16,0.145,671,1,0,0,0,0.149,1
ORD-10070,Chandresh Zachariah,Fashion,4278.96,0,24,0.368,50,1,0,0,0,0.245,1
ORD-10071,Girik Khalsa,Home & Kitchen,2254.59,1,10,0.117,137,0,0,0,1,0.309,0
ORD-10072,Niharika Sunder,Electronics,4433.69,0,15,0.381,227,0,0,1,1,0.546,0
ORD-10073,Tanay Rattan,Fashion,7002.82,0,12,0.248,161,0,0,0,0,0.191,0
ORD-10074,Nitesh Raghavan,Mobiles,4902.0,0,16,0.261,187,1,0,0,0,0.278,0
ORD-10075,Madhavi Lanka,Mobiles,3912.86,0,22,0.261,102,0,0,0,1,0.318,0
ORD-10076,Bhavika Sampath,Beauty,1792.25,0,25,0.167,473,1,0,0,1,0.43,1
ORD-10077,Mohammed Gupta,Fashion,9270.24,1,13,0.475,104,0,0,1,1,0.528,1
ORD-10078,Teerth Bhardwaj,Home & Kitchen,4752.0,1,7,0.359,668,0,0,0,0,0.46,1
ORD-10079,Dipta Bhandari,Fashion,3795.11,0,12,0.271,1113,0,0,0,0,0.208,0
ORD-10080,Vansha Thakkar,Fashion,1210.75,1,24,0.178,60,0,0,0,0,0.258,0
ORD-10081,Dakshesh Trivedi,Fashion,4450.94,0,21,0.48,691,2,0,0,1,0.145,1
ORD-10082,Quincy Biswas,Fashion,2106.99,1,4,0.137,93,1,0,0,0,0.232,1
ORD-10083,Wahab Raval,Fitness,4416.42,1,13,0.248,117,0,0,1,0,0.21,1
ORD-10084,Yatin Baral,Electronics,11674.91,0,21,0.198,50,0,0,0,1,0.118,0
ORD-10085,Oni Virk,Electronics,3940.76,1,8,0.136,304,0,0,0,0,0.046,0
ORD-10086,Advika Jayaraman,Fashion,7141.4,1,24,0.425,460,0,1,0,0,0.455,1
ORD-10087,William Lanka,Home & Kitchen,10198.92,0,13,0.205,301,0,0,0,0,0.39,0
ORD-10088,Karan Mital,Electronics,2775.25,1,3,0.122,280,0,0,0,0,0.215,1
ORD-10089,Diya Bora,Home & Kitchen,6786.3,0,13,0.219,280,0,0,0,0,0.528,1
ORD-10090,Tara Chaudhry,Beauty,1200.91,0,12,0.344,294,0,1,1,0,0.503,1
ORD-10091,Tanay Toor,Mobiles,1596.94,1,19,0.461,118,0,0,1,0,0.19,0
ORD-10092,Kevin Palla,Electronics,3547.9,0,17,0.163,59,0,0,0,1,0.377,0
ORD-10093,Yash Pingle,Beauty,1610.22,1,11,0.083,8,0,0,0,0,0.567,0
ORD-10094,Nakul Sarma,Mobiles,6820.08,0,3,0.406,109,0,1,0,0,0.26,0
ORD-10095,Abhiram Mistry,Home & Kitchen,6409.12,0,6,0.207,909,0,0,0,1,0.295,0
ORD-10096,Krish Lalla,Fitness,5681.76,0,9,0.284,164,0,0,0,1,0.416,0
ORD-10097,Hredhaan Dugal,Mobiles,11589.41,1,15,0.278,72,0,0,0,0,0.247,0
ORD-10098,Baghyawati Kade,Fashion,14920.72,1,15,0.144,82,0,0,0,1,0.372,0
ORD-10099,Samar Lalla,Fashion,6207.91,0,11,0.211,391,0,0,0,1,0.447,0
ORD-10100,Zayan Behl,Electronics,11056.47,0,36,0.437,395,0,0,0,0,0.193,0
ORD-10101,Pallavi Malhotra,Fitness,651.22,0,10,0.093,79,0,0,0,0,0.377,0
ORD-10102,Aarush Nath,Home & Kitchen,6194.6,1,11,0.558,86,1,0,0,0,0.355,1
ORD-10103,Adweta Edwin,Home & Kitchen,4564.97,1,30,0.499,379,0,0,1,1,0.29,1
ORD-10104,Prisha Andra,Fitness,13477.87,0,12,0.096,20,0,0,0,0,0.304,0
ORD-10105,Faqid Dixit,Mobiles,2215.86,0,20,0.36,56,0,0,1,1,0.244,1
ORD-10106,Kala Divan,Electronics,4324.12,1,9,0.362,185,0,0,0,0,0.333,1
ORD-10107,Joshua Barman,Home & Kitchen,744.5,1,4,0.102,490,0,0,0,0,0.179,0
ORD-10108,Janya Baral,Fitness,2383.61,0,2,0.325,350,1,0,1,0,0.424,1
ORD-10109,Shivansh Krish,Mobiles,2777.14,0,25,0.06,808,0,0,0,1,0.23,0
ORD-10110,Irya Ray,Home & Kitchen,2943.55,1,19,0.188,315,0,0,1,0,0.474,0
ORD-10111,Warjas Gaba,Beauty,5567.62,1,15,0.0,20,0,0,0,0,0.275,0
ORD-10112,Nitara Bakshi,Mobiles,2767.71,1,2,0.244,361,1,0,0,0,0.315,0
ORD-10113,Gaurangi Sabharwal,Electronics,5048.88,1,12,0.494,434,0,0,0,1,0.32,1
ORD-10114,Amara Dutta,Electronics,9547.93,0,8,0.308,175,2,0,0,1,0.412,0
ORD-10115,Lavanya Barad,Home & Kitchen,3895.36,1,13,0.447,242,0,0,0,0,0.472,1
ORD-10116,Tristan Iyengar,Home & Kitchen,6301.82,0,13,0.527,326,1,0,0,0,0.308,0
ORD-10117,Inaya Mody,Mobiles,5341.55,1,13,0.205,1019,1,0,0,0,0.234,0
ORD-10118,Udant Bajwa,Fashion,3135.12,1,4,0.308,116,0,0,0,0,0.26,1
ORD-10119,Mohini Narasimhan,Fitness,3285.42,1,19,0.101,67,0,1,0,0,0.09,1
ORD-10120,Ekaraj Mallick,Electronics,3048.41,0,2,0.49,203,1,0,0,0,0.561,0
ORD-10121,Yashodhara Ratta,Home & Kitchen,9253.72,1,9,0.239,11,0,1,0,0,0.139,0
ORD-10122,Ayaan D’Alia,Mobiles,2610.14,1,12,0.138,61,0,0,0,0,0.158,1
ORD-10123,Pranav Lanka,Fashion,2902.59,1,7,0.244,276,0,0,0,0,0.301,0
ORD-10124,Ikbal Saraf,Fashion,2016.53,0,13,0.245,86,0,0,0,0,0.184,0
ORD-10125,Dipta Sarin,Fashion,7524.93,0,29,0.386,111,1,0,0,0,0.305,0
ORD-10126,Lekha Gupta,Fitness,3594.83,1,21,0.22,44,0,0,0,0,0.223,0
ORD-10127,Chaitanya Sarin,Beauty,4967.22,1,9,0.397,472,0,0,0,0,0.402,0
ORD-10128,Zinal Yohannan,Electronics,2516.26,0,18,0.38,130,0,0,0,1,0.525,0
ORD-10129,Januja Sankar,Fitness,7873.99,1,13,0.246,461,0,0,0,0,0.146,1
ORD-10130,Ganga Murthy,Mobiles,3985.33,0,17,0.251,340,0,0,0,1,0.287,0
ORD-10131,Charita Tripathi,Mobiles,7838.14,1,21,0.289,752,0,0,0,0,0.273,0
ORD-10132,Nilima Narain,Mobiles,1205.77,0,30,0.142,163,0,0,0,0,0.196,0
ORD-10133,Chakrika Datta,Fitness,3319.33,0,7,0.076,276,0,0,0,0,0.131,0
ORD-10134,Osha Raghavan,Fitness,6365.88,1,6,0.235,175,0,0,0,0,0.519,0
ORD-10135,Charvi Ravi,Fashion,3044.14,1,4,0.282,112,1,0,0,0,0.628,1
ORD-10136,Daksha Mangat,Beauty,1942.05,1,24,0.513,21,0,0,0,0,0.405,1
ORD-10137,Qushi Nagy,Home & Kitchen,8024.39,0,32,0.266,324,0,0,0,1,0.266,0
ORD-10138,Riya Sathe,Home & Kitchen,3815.05,0,11,0.344,44,0,0,0,0,0.456,0
ORD-10139,Yasti Solanki,Beauty,2668.08,1,14,0.31,22,0,0,0,0,0.425,0
ORD-10140,Frado Mander,Fashion,3149.4,0,16,0.383,120,0,0,0,0,0.223,0
ORD-10141,Girik Keer,Fashion,4417.69,1,12,0.621,118,0,0,0,0,0.466,1
ORD-10142,Umang Issac,Electronics,819.56,0,12,0.427,98,0,0,0,0,0.301,1
ORD-10143,Aryan Batra,Electronics,6829.62,0,13,0.316,88,1,0,0,0,0.253,0
ORD-10144,Vaishnavi Bora,Electronics,6496.51,0,13,0.305,137,0,0,0,1,0.134,0
ORD-10145,Oeshi Hayer,Home & Kitchen,3915.1,0,14,0.182,19,0,0,1,0,0.111,0
ORD-10146,Warda Ratta,Fashion,2100.88,0,5,0.387,348,0,0,0,1,0.467,1
ORD-10147,Manbir Ahluwalia,Electronics,7832.48,0,16,0.33,504,0,0,0,1,0.396,0
ORD-10148,Pavani Kanda,Fashion,8040.97,0,9,0.198,23,0,0,0,1,0.311,0
ORD-10149,Zarna Shetty,Electronics,18661.94,1,18,0.276,274,0,0,0,0,0.338,0
ORD-10150,Zaid Dara,Mobiles,4180.86,1,15,0.282,128,0,0,0,1,0.698,0
ORD-10151,Kiaan Shetty,Home & Kitchen,5145.06,0,20,0.153,11,0,1,0,0,0.273,0
ORD-10152,Saanvi Thaman,Fashion,2751.92,0,17,0.205,278,0,0,0,0,0.197,0
ORD-10153,Sanaya Dutt,Home & Kitchen,1325.29,0,13,0.344,504,2,0,0,0,0.141,0
ORD-10154,Shivani Lad,Home & Kitchen,3955.26,1,16,0.039,138,1,0,0,0,0.264,1
ORD-10155,Aradhana Verma,Fashion,7433.53,0,17,0.211,384,0,0,1,0,0.547,0
ORD-10156,William Maharaj,Fitness,2175.95,0,11,0.053,1,0,0,0,0,0.146,0
ORD-10157,Faras Mangal,Beauty,2473.45,0,6,0.533,140,0,0,1,0,0.732,1
ORD-10158,Anita Nayak,Mobiles,6897.02,0,8,0.176,98,0,0,0,0,0.363,0
ORD-10159,Faris Devi,Fashion,6604.41,0,17,0.249,849,0,1,0,0,0.269,0
ORD-10160,Vihaan Rajagopal,Home & Kitchen,9119.87,1,1,0.707,38,1,0,0,1,0.454,1
ORD-10161,Tanish Bhatt,Electronics,23674.09,0,4,0.509,126,0,0,0,1,0.318,1
ORD-10162,Nikita Narayanan,Mobiles,7609.59,0,9,0.252,1,1,0,0,1,0.413,0
ORD-10163,Ojasvi Bhatia,Fashion,944.63,0,15,0.205,115,0,0,0,1,0.052,0
ORD-10164,Osha Ramachandran,Home & Kitchen,8797.07,0,4,0.266,47,0,0,0,0,0.738,1
ORD-10165,Lajita Sood,Fashion,4340.69,1,6,0.217,361,0,0,0,0,0.109,1
ORD-10166,Indira Misra,Fashion,9205.98,0,27,0.245,175,0,0,0,1,0.202,0
ORD-10167,Oni Yohannan,Fitness,3722.28,0,27,0.042,278,0,0,0,1,0.049,0
ORD-10168,Vinaya Kanda,Mobiles,2497.76,0,18,0.27,108,0,0,0,0,0.258,1
ORD-10169,Rajata Sunder,Beauty,5372.11,1,21,0.028,91,0,0,0,1,0.051,0
ORD-10170,Lopa Nayar,Electronics,1326.4,1,4,0.399,93,2,0,0,1,0.579,1
ORD-10171,Noah Sibal,Electronics,3798.26,0,8,0.426,156,1,0,1,1,0.187,1
ORD-10172,Avi Ramesh,Home & Kitchen,7330.71,1,17,0.163,56,0,1,0,1,0.175,1
ORD-10173,Fiyaz Sangha,Electronics,4021.87,1,13,0.263,72,0,0,0,0,0.244,1
ORD-10174,Triya Gopal,Beauty,1187.31,0,12,0.135,274,0,0,0,0,0.237,1
ORD-10175,Abha Raghavan,Beauty,7554.93,0,12,0.153,93,0,0,0,0,0.288,1
ORD-10176,Siddharth Sha,Fitness,9813.57,1,2,0.387,500,0,0,0,0,0.465,1
ORD-10177,Geetika Raghavan,Electronics,6379.89,0,29,0.501,207,0,1,0,0,0.327,1
ORD-10178,Oviya Krishnan,Fashion,5213.69,0,18,0.302,554,1,0,0,0,0.329,1
ORD-10179,Upma Bahl,Home & Kitchen,3240.15,0,17,0.321,168,0,0,0,0,0.547,1
ORD-10180,Inaya Kapur,Fashion,11714.48,1,9,0.639,82,0,0,0,0,0.291,1
ORD-10181,Banjeet Balasubramanian,Fashion,5008.51,0,14,0.195,339,0,0,0,0,0.379,1
ORD-10182,Ryan Bahri,Mobiles,11121.16,1,6,0.266,172,1,0,0,0,0.22,1
ORD-10183,William Date,Home & Kitchen,11129.52,1,4,0.593,318,0,0,1,0,0.527,1
ORD-10184,Ishwar Kamdar,Beauty,2860.25,0,19,0.0,241,0,0,0,0,0.243,0
ORD-10185,Aahana Pillay,Home & Kitchen,4326.08,1,27,0.084,23,0,0,0,1,0.131,0
ORD-10186,Ishwar Gade,Fashion,2387.63,0,10,0.286,202,0,0,0,0,0.319,0
ORD-10187,Hritik Bal,Beauty,5293.88,0,6,0.267,193,0,0,1,0,0.375,0
ORD-10188,Keya Ranganathan,Fashion,6968.75,1,4,0.291,37,2,0,0,0,0.252,1
ORD-10189,Faqid Kibe,Mobiles,1693.24,0,16,0.34,68,0,0,1,0,0.113,1
ORD-10190,Charvi Dara,Beauty,5742.21,1,6,0.134,183,0,0,0,0,0.309,0
ORD-10191,Idika Walia,Beauty,4236.11,0,11,0.068,328,0,0,1,1,0.201,0
ORD-10192,Kamala Biswas,Home & Kitchen,2469.76,1,6,0.374,73,0,0,0,0,0.73,1
ORD-10193,Advik Salvi,Beauty,2554.45,1,9,0.243,225,0,0,0,0,0.134,0
ORD-10194,Hitesh Sant,Home & Kitchen,8967.45,1,9,0.375,587,0,0,0,1,0.361,1
ORD-10195,Tripti Dua,Electronics,7606.16,1,4,0.541,105,1,0,0,1,0.511,1
ORD-10196,Patrick Vig,Electronics,6159.22,1,42,0.238,54,0,0,0,0,0.341,0
ORD-10197,Veda Shroff,Electronics,6401.03,0,9,0.319,264,0,1,1,0,0.398,0
ORD-10198,Amrita Naidu,Home & Kitchen,2944.47,0,6,0.365,298,0,0,0,1,0.298,1
ORD-10199,Gabriel Mallick,Fashion,4473.66,0,19,0.327,119,0,0,0,0,0.677,1
ORD-10200,Yagnesh Shetty,Mobiles,3987.35,1,6,0.275,643,0,0,0,0,0.425,1
ORD-10201,Gayathri Balakrishnan,Fashion,2606.52,1,8,0.33,413,1,0,0,1,0.394,1
ORD-10202,Ekta Gopal,Mobiles,6450.79,1,7,0.175,93,1,0,0,0,0.312,0
ORD-10203,Simon Pant,Electronics,9335.02,1,5,0.201,719,0,0,0,0,0.283,1
ORD-10204,Harini Mammen,Beauty,2024.83,0,7,0.208,387,0,0,0,0,0.254,0
ORD-10205,Advaith Varughese,Home & Kitchen,6332.94,0,21,0.081,334,1,0,0,0,0.777,1
ORD-10206,Frederick Khurana,Electronics,2925.16,0,27,0.118,252,0,0,0,1,0.361,0
ORD-10207,Vrinda Khosla,Fashion,11204.35,1,8,0.439,430,0,1,0,1,0.225,1
ORD-10208,Vritti Sem,Mobiles,7263.81,0,11,0.392,66,0,0,0,0,0.505,0
ORD-10209,Girik Menon,Mobiles,4529.71,1,13,0.527,255,1,0,0,0,0.409,1
ORD-10210,Nidhi Kohli,Electronics,2671.06,1,12,0.118,90,0,0,0,0,0.187,0
ORD-10211,Jyoti Solanki,Fitness,6744.44,1,14,0.18,62,0,0,0,0,0.281,0
ORD-10212,Pavani Narayanan,Electronics,3742.53,1,37,0.117,159,0,0,0,0,0.073,0
ORD-10213,Sudiksha Madan,Beauty,5688.01,0,10,0.32,286,0,1,1,0,0.328,1
ORD-10214,Zayan Kashyap,Beauty,4167.65,0,7,0.339,273,0,0,0,0,0.155,0
ORD-10215,Reyansh Mutti,Electronics,5067.25,1,11,0.239,94,0,0,0,0,0.286,0
ORD-10216,Qasim Handa,Mobiles,2873.54,1,7,0.352,6,1,0,0,0,0.296,0
ORD-10217,Veda Malhotra,Mobiles,1601.64,0,12,0.44,162,0,0,0,0,0.512,1
ORD-10218,Harish Hari,Fashion,2089.9,1,21,0.227,153,0,0,0,0,0.196,0
ORD-10219,Utkarsh Patel,Electronics,7389.15,1,7,0.144,83,0,0,0,1,0.198,0
ORD-10220,Chasmum Atwal,Mobiles,2883.07,0,7,0.435,12,0,1,0,0,0.204,1
ORD-10221,Anusha Bath,Fashion,6866.92,1,16,0.351,143,0,0,0,0,0.352,1
ORD-10222,Brinda Date,Fashion,3433.87,1,21,0.345,196,0,0,0,0,0.287,1
ORD-10223,Harshil Arora,Beauty,1724.96,0,7,0.233,204,0,0,0,0,0.256,0
ORD-10224,Upasna Srinivas,Mobiles,8390.31,1,15,0.327,49,0,0,0,0,0.323,1
ORD-10225,Harini Gour,Fashion,2350.27,0,15,0.073,35,0,0,0,0,0.31,0
ORD-10226,Zayyan Sridhar,Fashion,3062.89,0,5,0.432,194,0,0,0,1,0.275,0
ORD-10227,Dhruv Rattan,Mobiles,8613.06,1,15,0.185,250,0,0,0,0,0.439,1
ORD-10228,Ethan Bera,Fashion,6635.11,0,3,0.159,12,0,0,0,0,0.286,1
ORD-10229,Manthan Modi,Electronics,5264.29,1,16,0.438,3,0,0,0,0,0.51,1
ORD-10230,Yuvraj Dani,Mobiles,2919.45,0,14,0.26,156,0,0,0,1,0.156,0
ORD-10231,Upkaar Virk,Mobiles,8981.69,0,27,0.311,806,1,0,0,0,0.472,1
ORD-10232,Shravya Savant,Electronics,2748.1,1,2,0.251,142,0,0,0,0,0.12,0
ORD-10233,Pushti Mody,Electronics,3337.91,1,14,0.291,4,0,0,1,0,0.301,1
ORD-10234,Hardik Johal,Fashion,3971.05,1,16,0.456,55,0,0,0,1,0.502,1
ORD-10235,Aishani Bumb,Fashion,6505.55,1,19,0.231,243,0,0,0,1,0.176,0
ORD-10236,Wriddhish Ghose,Home & Kitchen,3546.4,1,10,0.094,24,1,0,1,0,0.674,1
ORD-10237,Naksh Agate,Mobiles,3553.36,0,13,0.146,20,0,0,0,0,0.173,0
ORD-10238,Shravya Singhal,Fashion,4822.53,1,14,0.366,152,0,0,0,0,0.157,0
ORD-10239,Bachittar Kata,Beauty,2879.03,0,17,0.193,1,0,0,1,0,0.356,0
ORD-10240,Barkha Setty,Electronics,3755.03,0,6,0.114,301,1,0,0,0,0.147,0
ORD-10241,Vivaan Lalla,Electronics,4331.97,0,4,0.418,494,0,0,0,1,0.138,1
ORD-10242,Pavani Contractor,Electronics,2354.33,0,13,0.335,139,0,0,0,0,0.304,1
ORD-10243,Manthan Lata,Beauty,4746.25,1,4,0.224,92,1,0,0,0,0.567,1
ORD-10244,Ekbal Bhasin,Electronics,7028.47,1,22,0.165,90,0,0,0,0,0.47,0
ORD-10245,Damyanti Mani,Mobiles,17009.57,0,11,0.448,76,3,0,0,0,0.128,0
ORD-10246,Jeet Sidhu,Beauty,4500.56,1,22,0.222,315,0,0,0,0,0.293,1
ORD-10247,Neha Magar,Electronics,5202.76,0,18,0.365,630,0,0,0,0,0.254,0
ORD-10248,Raksha Buch,Fashion,5949.22,1,11,0.352,54,1,0,0,0,0.265,1
ORD-10249,Rachana Naidu,Mobiles,4565.2,0,15,0.319,27,0,1,0,0,0.111,0
ORD-10250,Atharv Chand,Home & Kitchen,1866.43,0,4,0.36,25,0,0,0,0,0.337,1
ORD-10251,Ansh Luthra,Electronics,6434.88,0,11,0.133,288,0,0,0,0,0.21,0
ORD-10252,Parth Singhal,Home & Kitchen,3982.17,0,11,0.197,162,0,0,0,0,0.667,0
ORD-10253,Arunima Golla,Fashion,5545.64,0,18,0.245,368,0,0,1,0,0.33,0
ORD-10254,Vyanjana Chand,Fashion,4306.01,0,12,0.517,37,0,0,0,0,0.665,0
ORD-10255,Ijaya Rege,Fashion,4654.49,0,9,0.381,17,0,0,1,0,0.105,1
ORD-10256,Ekani Cheema,Mobiles,9648.29,0,7,0.28,19,0,0,0,0,0.288,0
ORD-10257,Forum Sabharwal,Fashion,7132.86,1,21,0.691,710,1,0,0,0,0.336,1
ORD-10258,Bhavya Rattan,Mobiles,3721.59,0,24,0.112,328,0,0,0,1,0.316,0
ORD-10259,Suhani Chakrabarti,Electronics,2466.34,0,14,0.43,196,0,1,0,0,0.346,0
ORD-10260,Zayyan Naik,Fitness,6429.56,0,4,0.126,1191,0,0,0,0,0.461,0
ORD-10261,Netra Varkey,Fitness,5871.48,0,8,0.261,381,0,0,1,0,0.522,0
ORD-10262,Turvi Sachdev,Fashion,2491.17,0,24,0.261,110,0,0,0,0,0.192,0
ORD-10263,Raghav Vasa,Electronics,2541.62,0,11,0.3,17,0,0,0,1,0.35,1
ORD-10264,Wishi Sathe,Electronics,5221.58,1,20,0.254,164,0,0,0,0,0.413,0
ORD-10265,Samar Loke,Mobiles,6705.43,0,9,0.231,78,1,0,0,0,0.198,1
ORD-10266,Bhavna Sarma,Fashion,1945.54,0,10,0.271,261,0,0,0,0,0.089,1
ORD-10267,Jairaj Balakrishnan,Home & Kitchen,1856.53,0,12,0.265,7,1,0,0,0,0.477,0
ORD-10268,Nathan Mukhopadhyay,Electronics,2017.92,1,12,0.49,125,0,0,0,0,0.377,1
ORD-10269,Nikita Chander,Fashion,3614.04,0,10,0.472,236,1,0,0,1,0.264,0
ORD-10270,Ishaan Shenoy,Fitness,9383.26,0,13,0.282,260,0,0,0,1,0.219,1
ORD-10271,Mitesh Tara,Fashion,5181.96,0,23,0.29,36,1,0,0,0,0.174,0
